,title,median,mean,my_status
3038,HeatGuy J,7.0,6.44466800804829,994
3040,Daikuu Maryuu Gaiking,7.0,5.611940298507463,67
3042,Jyu Oh Sei,7.0,6.641444713478612,4956
3043,Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),7.0,5.724137931034483,203
3048,The Third: Aoi Hitomi no Shoujo,7.0,6.3976759199483535,1549
3054,Cybersix,7.0,6.066210045662101,438
3057,Hello! Sandybell,7.0,5.727688787185355,437
3075,Street Fighter II V,7.0,6.26193724420191,2199
3076,Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.0,5.950564971751413,708
3084,Ginga Densetsu Weed,7.0,6.468253968253968,630
3086,Ninkuu,7.0,5.9879518072289155,166
3111,Deltora Quest,7.0,5.8789808917197455,628
3115,Ginga Hyouryuu Vifam,7.0,6.4520547945205475,73
3119,PopoloCrois,7.0,6.285714285714286,112
3120,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,7.0,6.165760869565218,368
3127,Shin Hakkenden,7.0,5.607017543859649,285
3129,MÄR,7.0,6.181571815718157,1845
3138,Juubee Ninpuuchou: Ryuuhougyoku-hen,7.0,5.787021056265102,2897
3142,Kazemakase Tsukikage Ran,7.0,6.306317044100119,839
3147,Onmyou Taisenki,7.0,6.131661442006269,319
3150,Night Wizard,7.0,5.948922350162386,3387
3152,Otogi Juushi Akazukin,7.0,5.988142292490118,253
3157,Koutetsu Tenshi Kurumi,7.0,5.918467583497053,2036
3159,Digimon Adventure,7.0,6.55570050785072,21463
3170,Tobe! Isami,7.0,5.896103896103896,77
3179,Haou Taikei Ryuu Knight,7.0,5.813559322033898,118
3187,Saber Marionette J,7.0,6.419480519480519,2310
3190,Bubblegum Crisis Tokyo 2040,7.0,6.335831381733021,2135
3191,Kaiketsu Zorro,7.0,5.664370078740157,1016
3202,Sakura Taisen,7.0,5.897810218978102,1233
3207,Tokyo Mew Mew,7.0,5.882636655948553,6220
3222,Shadow Skill: Eigi,7.0,6.258559622195986,847
3227,Dae Jang Geum: Jang Geum&#039;s Dream,7.0,5.475728155339806,103
3233,Patapata Hikousen no Bouken,7.0,5.95575221238938,226
3244,Uchuu Senshi Baldios,7.0,6.2,40
3246,Wagamama☆Fairy Mirumo de Pon!,7.0,6.044083526682135,862
3251,Zoids Genesis,7.0,5.899176954732511,972
3258,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,7.0,5.857315598548972,827
3269,Juubee-chan: Lovely Gantai no Himitsu,7.0,5.760278745644599,1435
3273,Legend of Basara,7.0,6.386086956521739,575
3287,Anime Sanjuushi,7.0,5.809716599190283,247
3297,Moonlight Mile 2nd Season: Touch Down,7.0,6.530249110320285,281
3299,Overman King Gainer,7.0,6.222429906542056,535
3300,Uchuu Densetsu Ulysses 31,7.0,5.7407407407407405,324
3302,Jibaku-kun,7.0,6.5809906291834,747
3308,Pokemon,7.0,6.141404296792237,23599
3318,Eden&#039;s Bowy,7.0,5.497907949790795,478
3324,Battle Athletess Daiundoukai (TV),7.0,6.100591715976331,507
